client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,variation
3164659,6.0,79.0,56.5,U,2.0,40995.41,5.0,8.0,control
5002874,15.0,189.0,47.5,M,2.0,58782.99,5.0,8.0,control
8854405,9.0,119.0,58.5,F,2.0,70652.87,5.0,8.0,control
3824141,18.0,221.0,39.5,F,3.0,39448.93,2.0,5.0,control
9135655,5.0,60.0,24.5,U,2.0,27549.67,3.0,6.0,control
5777036,6.0,77.0,47.0,U,2.0,440455.1,3.0,6.0,control
6773952,7.0,89.0,54.5,U,2.0,101708.63,5.0,8.0,control
1333739,30.0,364.0,63.5,M,3.0,180683.88,1.0,4.0,control
5908562,18.0,219.0,68.0,M,2.0,31624.74,2.0,6.0,control
9325237,14.0,177.0,58.0,F,2.0,37188.57,4.0,8.0,control
3629514,10.0,124.0,32.0,F,2.0,60392.72,6.0,9.0,control
7812668,4.0,48.0,58.0,U,2.0,25715.1,0.0,3.0,control
8191330,5.0,64.0,24.5,U,3.0,62090.91,6.0,9.0,control
1162812,8.0,107.0,41.5,M,2.0,28542.91,5.0,8.0,control
3903245,6.0,77.0,62.5,F,3.0,349040.52,6.0,9.0,control
7069115,12.0,148.0,70.5,F,2.0,28270.34,4.0,7.0,control
3753413,24.0,295.0,28.0,M,2.0,67971.18,6.0,9.0,control
7636356,23.0,287.0,57.5,F,2.0,87111.0,2.0,5.0,control
9092715,23.0,286.0,46.0,F,2.0,38588.65,6.0,9.0,control
8161704,21.0,253.0,63.0,F,3.0,461340.67,6.0,9.0,control
2353743,7.0,91.0,58.0,F,2.0,215623.04,6.0,9.0,control
8068434,10.0,125.0,58.0,F,3.0,191123.05,0.0,3.0,control
2116375,5.0,63.0,62.5,M,2.0,38045.8,6.0,9.0,control
6535460,6.0,77.0,26.5,U,2.0,70569.62,6.0,9.0,control
5790126,14.0,170.0,54.0,F,2.0,44155.58,2.0,5.0,control
1277925,52.0,624.0,62.0,F,2.0,57944.95,6.0,9.0,control
1192189,6.0,74.0,25.5,U,3.0,86702.62,3.0,6.0,control
3236796,7.0,89.0,25.0,U,2.0,81992.06,4.0,7.0,control
928927,5.0,70.0,37.0,U,2.0,62444.19,4.0,7.0,control
1869378,13.0,165.0,44.0,F,2.0,41384.85,3.0,6.0,control
1231025,14.0,177.0,61.5,M,2.0,371602.42,6.0,9.0,control
7064137,4.0,58.0,57.5,U,2.0,30507.11,2.0,5.0,control
9423971,5.0,69.0,58.0,U,3.0,220617.81,3.0,6.0,control
5708924,6.0,82.0,65.0,U,3.0,305558.25,6.0,9.0,control
6903843,21.0,252.0,67.0,F,2.0,133924.53,6.0,9.0,control
2296594,16.0,194.0,53.0,M,2.0,461385.99,0.0,3.0,control
5330825,14.0,172.0,31.5,M,2.0,23851.71,6.0,9.0,control
6210162,17.0,206.0,57.0,M,5.0,197071.32,1.0,4.0,control
3717404,14.0,169.0,51.0,M,2.0,655728.06,1.0,4.0,control
1834267,16.0,193.0,36.0,F,3.0,177497.57,4.0,7.0,control
2271732,11.0,135.0,39.5,M,2.0,37671.97,6.0,9.0,control
4807522,12.0,154.0,40.5,U,2.0,196169.33,1.0,4.0,control
1819473,14.0,172.0,53.5,F,3.0,58606.41,3.0,6.0,control
5951934,10.0,129.0,27.5,U,3.0,72280.20999999999,1.0,4.0,control
735487,23.0,277.0,41.0,M,4.0,1646473.88,1.0,5.0,control
6524781,20.0,245.0,65.0,M,2.0,145711.41999999998,2.0,5.0,control
7059930,18.0,226.0,60.5,M,2.0,128325.83,5.0,8.0,control
9097769,24.0,295.0,70.0,M,3.0,499630.39,6.0,9.0,control
7897586,17.0,206.0,35.5,M,2.0,83086.69,0.0,3.0,control
8064588,8.0,106.0,43.5,M,2.0,31332.84,0.0,3.0,control
6214215,7.0,91.0,32.0,U,2.0,47786.15,6.0,9.0,control
2067540,8.0,99.0,55.5,U,3.0,124976.86,6.0,9.0,control
5546276,14.0,169.0,26.5,F,2.0,39230.08,1.0,4.0,control
1346422,5.0,68.0,56.5,M,3.0,446133.08,1.0,4.0,control
4313487,6.0,74.0,49.5,U,2.0,80665.78,4.0,7.0,control
773392,9.0,113.0,58.0,F,2.0,100319.83,1.0,4.0,control
2843287,13.0,164.0,30.0,F,2.0,30438.21,0.0,3.0,control
9591893,4.0,59.0,29.0,U,2.0,57760.29,4.0,7.0,control
608014,5.0,68.0,31.5,U,2.0,52747.78999999999,0.0,3.0,control
9083686,4.0,57.0,25.0,U,2.0,42043.35,2.0,5.0,control
4347990,20.0,242.0,61.5,F,2.0,47986.67,3.0,6.0,control
9375283,15.0,189.0,52.0,M,2.0,165226.78999999998,2.0,5.0,control
2454757,24.0,291.0,67.5,M,2.0,163784.39,6.0,9.0,control
2477779,21.0,262.0,21.5,F,2.0,29969.84,6.0,9.0,control
1248713,20.0,251.0,52.0,M,2.0,79499.9,6.0,9.0,control
